Query,Language,Intent,Terminal,Response
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival area mein Gate 7 ke paas hai.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival area mein Gate 7 ke paas hai.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
restroom kahan hai?,Roman Urdu,Facilities,Arrival,restroom Arrival area mein Gate 1 ke paas hai.
lounge kahan hai?,Roman Urdu,Facilities,Arrival,lounge Arrival area mein Gate 2 ke paas hai.
wifi kahan hai?,Roman Urdu,Facilities,Arrival,wifi Arrival area mein Gate 3 ke paas hai.
prayer room kahan hai?,Roman Urdu,Facilities,Arrival,prayer room Arrival area mein Gate 4 ke paas hai.
charging station kahan hai?,Roman Urdu,Facilities,Arrival,charging station Arrival area mein Gate 5 ke paas hai.
information desk kahan hai?,Roman Urdu,Facilities,Arrival,information desk Arrival area mein Gate 6 ke paas hai.
medical help kahan hai?,Roman Urdu,Facilities,Arrival,medical help Arrival area mein Gate 7 ke paas hai.
baby care room kahan hai?,Roman Urdu,Facilities,Arrival,baby care room Arrival area mein Gate 8 ke paas hai.
smoking area kahan hai?,Roman Urdu,Facilities,Arrival,smoking area Arrival area mein Gate 9 ke paas hai.
food court kahan hai?,Roman Urdu,Facilities,Arrival,food court Arrival area mein Gate 10 ke paas hai.
ATM kahan hai?,Roman Urdu,Facilities,Arrival,ATM Arrival area mein Gate 1 ke paas hai.
taxi stand kahan hai?,Roman Urdu,Facilities,Arrival,taxi stand Arrival area mein Gate 2 ke paas hai.
car rental kahan hai?,Roman Urdu,Facilities,Arrival,car rental Arrival area mein Gate 3 ke paas hai.
baggage trolley kahan hai?,Roman Urdu,Facilities,Arrival,baggage trolley Arrival area mein Gate 4 ke paas hai.
lost and found kahan hai?,Roman Urdu,Facilities,Arrival,lost and found Arrival area mein Gate 5 ke paas hai.
currency exchange kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange Arrival area mein Gate 6 ke paas hai.
drinking water kahan hai?,Roman Urdu,Facilities,Arrival,drinking water Arrival area mein Gate 7 ke paas hai.
wheelchair service kahan hai?,Roman Urdu,Facilities,Arrival,wheelchair service Arrival area mein Gate 8 ke paas hai.
parking area kahan hai?,Roman Urdu,Facilities,Arrival,parking area Arrival area mein Gate 9 ke paas hai.
airport map kahan hai?,Roman Urdu,Facilities,Arrival,airport map Arrival area mein Gate 10 ke paas hai.
