Query,Language,Intent,Terminal,Response
لاپتہ اشیاء کا کاؤنٹر کہاں ہے؟,Urdu,Facilities,Arrival,لاپتہ اشیاء کا کاؤنٹر آمد کے حصے میں گیٹ 5 کے قریب ہے۔
کرنسی ایکسچینج کہاں ہے؟,Urdu,Facilities,Arrival,کرنسی ایکسچینج آمد کے حصے میں گیٹ 6 کے قریب ہے۔
پینے کا پانی کہاں ہے؟,Urdu,Facilities,Arrival,پینے کا پانی آمد کے حصے میں گیٹ 7 کے قریب ہے۔
وہیل چیئر سروس کہاں ہے؟,Urdu,Facilities,Arrival,وہیل چیئر سروس آمد کے حصے میں گیٹ 8 کے قریب ہے۔
پارکنگ ایریا کہاں ہے؟,Urdu,Facilities,Arrival,پارکنگ ایریا آمد کے حصے میں گیٹ 9 کے قریب ہے۔
ایئرپورٹ کا نقشہ کہاں ہے؟,Urdu,Facilities,Arrival,ایئرپورٹ کا نقشہ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
واش روم کہاں ہے؟,Urdu,Facilities,Arrival,واش روم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
لاؤنج کہاں ہے؟,Urdu,Facilities,Arrival,لاؤنج آمد کے حصے میں گیٹ 2 کے قریب ہے۔
وائی فائی کہاں ہے؟,Urdu,Facilities,Arrival,وائی فائی آمد کے حصے میں گیٹ 3 کے قریب ہے۔
نماز کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,نماز کی جگہ آمد کے حصے میں گیٹ 4 کے قریب ہے۔
چارجنگ اسٹیشن کہاں ہے؟,Urdu,Facilities,Arrival,چارجنگ اسٹیشن آمد کے حصے میں گیٹ 5 کے قریب ہے۔
انفارمیشن ڈیسک کہاں ہے؟,Urdu,Facilities,Arrival,انفارمیشن ڈیسک آمد کے حصے میں گیٹ 6 کے قریب ہے۔
طبی امداد کہاں ہے؟,Urdu,Facilities,Arrival,طبی امداد آمد کے حصے میں گیٹ 7 کے قریب ہے۔
بچوں کی دیکھ بھال کا کمرہ کہاں ہے؟,Urdu,Facilities,Arrival,بچوں کی دیکھ بھال کا کمرہ آمد کے حصے میں گیٹ 8 کے قریب ہے۔
سگریٹ نوشی کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,سگریٹ نوشی کی جگہ آمد کے حصے میں گیٹ 9 کے قریب ہے۔
فوڈ کورٹ کہاں ہے؟,Urdu,Facilities,Arrival,فوڈ کورٹ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
اے ٹی ایم کہاں ہے؟,Urdu,Facilities,Arrival,اے ٹی ایم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
ٹیکسی اسٹینڈ کہاں ہے؟,Urdu,Facilities,Arrival,ٹیکسی اسٹینڈ آمد کے حصے میں گیٹ 2 کے قریب ہے۔
کار کرایہ کہاں ہے؟,Urdu,Facilities,Arrival,کار کرایہ آمد کے حصے میں گیٹ 3 کے قریب ہے۔
بیگیج ٹرالی کہاں ہے؟,Urdu,Facilities,Arrival,بیگیج ٹرالی آمد کے حصے میں گیٹ 4 کے قریب ہے۔
لاپتہ اشیاء کا کاؤنٹر کہاں ہے؟,Urdu,Facilities,Arrival,لاپتہ اشیاء کا کاؤنٹر آمد کے حصے میں گیٹ 5 کے قریب ہے۔
کرنسی ایکسچینج کہاں ہے؟,Urdu,Facilities,Arrival,کرنسی ایکسچینج آمد کے حصے میں گیٹ 6 کے قریب ہے۔
پینے کا پانی کہاں ہے؟,Urdu,Facilities,Arrival,پینے کا پانی آمد کے حصے میں گیٹ 7 کے قریب ہے۔
وہیل چیئر سروس کہاں ہے؟,Urdu,Facilities,Arrival,وہیل چیئر سروس آمد کے حصے میں گیٹ 8 کے قریب ہے۔
پارکنگ ایریا کہاں ہے؟,Urdu,Facilities,Arrival,پارکنگ ایریا آمد کے حصے میں گیٹ 9 کے قریب ہے۔
ایئرپورٹ کا نقشہ کہاں ہے؟,Urdu,Facilities,Arrival,ایئرپورٹ کا نقشہ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
واش روم کہاں ہے؟,Urdu,Facilities,Arrival,واش روم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
لاؤنج کہاں ہے؟,Urdu,Facilities,Arrival,لاؤنج آمد کے حصے میں گیٹ 2 کے قریب ہے۔
وائی فائی کہاں ہے؟,Urdu,Facilities,Arrival,وائی فائی آمد کے حصے میں گیٹ 3 کے قریب ہے۔
نماز کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,نماز کی جگہ آمد کے حصے میں گیٹ 4 کے قریب ہے۔
چارجنگ اسٹیشن کہاں ہے؟,Urdu,Facilities,Arrival,چارجنگ اسٹیشن آمد کے حصے میں گیٹ 5 کے قریب ہے۔
انفارمیشن ڈیسک کہاں ہے؟,Urdu,Facilities,Arrival,انفارمیشن ڈیسک آمد کے حصے میں گیٹ 6 کے قریب ہے۔
طبی امداد کہاں ہے؟,Urdu,Facilities,Arrival,طبی امداد آمد کے حصے میں گیٹ 7 کے قریب ہے۔
بچوں کی دیکھ بھال کا کمرہ کہاں ہے؟,Urdu,Facilities,Arrival,بچوں کی دیکھ بھال کا کمرہ آمد کے حصے میں گیٹ 8 کے قریب ہے۔
سگریٹ نوشی کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,سگریٹ نوشی کی جگہ آمد کے حصے میں گیٹ 9 کے قریب ہے۔
فوڈ کورٹ کہاں ہے؟,Urdu,Facilities,Arrival,فوڈ کورٹ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
اے ٹی ایم کہاں ہے؟,Urdu,Facilities,Arrival,اے ٹی ایم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
ٹیکسی اسٹینڈ کہاں ہے؟,Urdu,Facilities,Arrival,ٹیکسی اسٹینڈ آمد کے حصے میں گیٹ 2 کے قریب ہے۔
کار کرایہ کہاں ہے؟,Urdu,Facilities,Arrival,کار کرایہ آمد کے حصے میں گیٹ 3 کے قریب ہے۔
بیگیج ٹرالی کہاں ہے؟,Urdu,Facilities,Arrival,بیگیج ٹرالی آمد کے حصے میں گیٹ 4 کے قریب ہے۔
لاپتہ اشیاء کا کاؤنٹر کہاں ہے؟,Urdu,Facilities,Arrival,لاپتہ اشیاء کا کاؤنٹر آمد کے حصے میں گیٹ 5 کے قریب ہے۔
کرنسی ایکسچینج کہاں ہے؟,Urdu,Facilities,Arrival,کرنسی ایکسچینج آمد کے حصے میں گیٹ 6 کے قریب ہے۔
پینے کا پانی کہاں ہے؟,Urdu,Facilities,Arrival,پینے کا پانی آمد کے حصے میں گیٹ 7 کے قریب ہے۔
وہیل چیئر سروس کہاں ہے؟,Urdu,Facilities,Arrival,وہیل چیئر سروس آمد کے حصے میں گیٹ 8 کے قریب ہے۔
پارکنگ ایریا کہاں ہے؟,Urdu,Facilities,Arrival,پارکنگ ایریا آمد کے حصے میں گیٹ 9 کے قریب ہے۔
ایئرپورٹ کا نقشہ کہاں ہے؟,Urdu,Facilities,Arrival,ایئرپورٹ کا نقشہ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
واش روم کہاں ہے؟,Urdu,Facilities,Arrival,واش روم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
لاؤنج کہاں ہے؟,Urdu,Facilities,Arrival,لاؤنج آمد کے حصے میں گیٹ 2 کے قریب ہے۔
وائی فائی کہاں ہے؟,Urdu,Facilities,Arrival,وائی فائی آمد کے حصے میں گیٹ 3 کے قریب ہے۔
نماز کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,نماز کی جگہ آمد کے حصے میں گیٹ 4 کے قریب ہے۔
چارجنگ اسٹیشن کہاں ہے؟,Urdu,Facilities,Arrival,چارجنگ اسٹیشن آمد کے حصے میں گیٹ 5 کے قریب ہے۔
انفارمیشن ڈیسک کہاں ہے؟,Urdu,Facilities,Arrival,انفارمیشن ڈیسک آمد کے حصے میں گیٹ 6 کے قریب ہے۔
طبی امداد کہاں ہے؟,Urdu,Facilities,Arrival,طبی امداد آمد کے حصے میں گیٹ 7 کے قریب ہے۔
بچوں کی دیکھ بھال کا کمرہ کہاں ہے؟,Urdu,Facilities,Arrival,بچوں کی دیکھ بھال کا کمرہ آمد کے حصے میں گیٹ 8 کے قریب ہے۔
سگریٹ نوشی کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,سگریٹ نوشی کی جگہ آمد کے حصے میں گیٹ 9 کے قریب ہے۔
فوڈ کورٹ کہاں ہے؟,Urdu,Facilities,Arrival,فوڈ کورٹ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
اے ٹی ایم کہاں ہے؟,Urdu,Facilities,Arrival,اے ٹی ایم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
ٹیکسی اسٹینڈ کہاں ہے؟,Urdu,Facilities,Arrival,ٹیکسی اسٹینڈ آمد کے حصے میں گیٹ 2 کے قریب ہے۔
کار کرایہ کہاں ہے؟,Urdu,Facilities,Arrival,کار کرایہ آمد کے حصے میں گیٹ 3 کے قریب ہے۔
بیگیج ٹرالی کہاں ہے؟,Urdu,Facilities,Arrival,بیگیج ٹرالی آمد کے حصے میں گیٹ 4 کے قریب ہے۔
لاپتہ اشیاء کا کاؤنٹر کہاں ہے؟,Urdu,Facilities,Arrival,لاپتہ اشیاء کا کاؤنٹر آمد کے حصے میں گیٹ 5 کے قریب ہے۔
کرنسی ایکسچینج کہاں ہے؟,Urdu,Facilities,Arrival,کرنسی ایکسچینج آمد کے حصے میں گیٹ 6 کے قریب ہے۔
پینے کا پانی کہاں ہے؟,Urdu,Facilities,Arrival,پینے کا پانی آمد کے حصے میں گیٹ 7 کے قریب ہے۔
وہیل چیئر سروس کہاں ہے؟,Urdu,Facilities,Arrival,وہیل چیئر سروس آمد کے حصے میں گیٹ 8 کے قریب ہے۔
پارکنگ ایریا کہاں ہے؟,Urdu,Facilities,Arrival,پارکنگ ایریا آمد کے حصے میں گیٹ 9 کے قریب ہے۔
ایئرپورٹ کا نقشہ کہاں ہے؟,Urdu,Facilities,Arrival,ایئرپورٹ کا نقشہ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
واش روم کہاں ہے؟,Urdu,Facilities,Arrival,واش روم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
لاؤنج کہاں ہے؟,Urdu,Facilities,Arrival,لاؤنج آمد کے حصے میں گیٹ 2 کے قریب ہے۔
وائی فائی کہاں ہے؟,Urdu,Facilities,Arrival,وائی فائی آمد کے حصے میں گیٹ 3 کے قریب ہے۔
نماز کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,نماز کی جگہ آمد کے حصے میں گیٹ 4 کے قریب ہے۔
چارجنگ اسٹیشن کہاں ہے؟,Urdu,Facilities,Arrival,چارجنگ اسٹیشن آمد کے حصے میں گیٹ 5 کے قریب ہے۔
انفارمیشن ڈیسک کہاں ہے؟,Urdu,Facilities,Arrival,انفارمیشن ڈیسک آمد کے حصے میں گیٹ 6 کے قریب ہے۔
طبی امداد کہاں ہے؟,Urdu,Facilities,Arrival,طبی امداد آمد کے حصے میں گیٹ 7 کے قریب ہے۔
بچوں کی دیکھ بھال کا کمرہ کہاں ہے؟,Urdu,Facilities,Arrival,بچوں کی دیکھ بھال کا کمرہ آمد کے حصے میں گیٹ 8 کے قریب ہے۔
سگریٹ نوشی کی جگہ کہاں ہے؟,Urdu,Facilities,Arrival,سگریٹ نوشی کی جگہ آمد کے حصے میں گیٹ 9 کے قریب ہے۔
فوڈ کورٹ کہاں ہے؟,Urdu,Facilities,Arrival,فوڈ کورٹ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
اے ٹی ایم کہاں ہے؟,Urdu,Facilities,Arrival,اے ٹی ایم آمد کے حصے میں گیٹ 1 کے قریب ہے۔
ٹیکسی اسٹینڈ کہاں ہے؟,Urdu,Facilities,Arrival,ٹیکسی اسٹینڈ آمد کے حصے میں گیٹ 2 کے قریب ہے۔
کار کرایہ کہاں ہے؟,Urdu,Facilities,Arrival,کار کرایہ آمد کے حصے میں گیٹ 3 کے قریب ہے۔
بیگیج ٹرالی کہاں ہے؟,Urdu,Facilities,Arrival,بیگیج ٹرالی آمد کے حصے میں گیٹ 4 کے قریب ہے۔
لاپتہ اشیاء کا کاؤنٹر کہاں ہے؟,Urdu,Facilities,Arrival,لاپتہ اشیاء کا کاؤنٹر آمد کے حصے میں گیٹ 5 کے قریب ہے۔
کرنسی ایکسچینج کہاں ہے؟,Urdu,Facilities,Arrival,کرنسی ایکسچینج آمد کے حصے میں گیٹ 6 کے قریب ہے۔
پینے کا پانی کہاں ہے؟,Urdu,Facilities,Arrival,پینے کا پانی آمد کے حصے میں گیٹ 7 کے قریب ہے۔
وہیل چیئر سروس کہاں ہے؟,Urdu,Facilities,Arrival,وہیل چیئر سروس آمد کے حصے میں گیٹ 8 کے قریب ہے۔
پارکنگ ایریا کہاں ہے؟,Urdu,Facilities,Arrival,پارکنگ ایریا آمد کے حصے میں گیٹ 9 کے قریب ہے۔
ایئرپورٹ کا نقشہ کہاں ہے؟,Urdu,Facilities,Arrival,ایئرپورٹ کا نقشہ آمد کے حصے میں گیٹ 10 کے قریب ہے۔
